id,text,,,,
"1,36777655426524E+018","@priavila07 Se depender desse pessoal, só  pode tomar a vacina chinesa. Só  essa que salva. As outras não. _xD83E__xDD2C_",,,,
"1,36777655208418E+018",@machine_maah (estranho pq diversos conhecidos meus que pegaram covid os cara receitaram cloroquina_xD83E__xDD28__xD83E__xDD28_),,,,
"1,36777654994098E+018","@LoZ11156457 @BemPensativo @monark Vai lá tirar foto então. E tem que ser do hospital, nome incluso, todo pois a ala de pacientes de COVID-19 é, por norma, isolada do resto do hospital. E nem todo hospital tem estrutura para receber doentes ou tem restrição quanto à sua especialidade.",,,,
"1,36777653322246E+018","Não consigo mensurar em palavras a felicidade que eu tô sentindo por saber que sábado meu vôzinho vai tomar vacina. E, muito em breve, minha vó também. Amo",,,,
"1,36777653115889E+018",Meu avô foi oficialmente vacinado contra a covid-19 _xD83E__xDD70_❤️,,,,
"1,36777652136099E+018","@jairbolsonaro COMPRA AS VACINAS BOLSONARO?\nCADÊ AS VACINAS BOLSONARO?\nONDE ESTÁ AS VACINAS BOLSONARO?\nVACINE A POPULAÇÃO BOLSONARO?\nSÃO MAIS DE MIL MORTOS POR DIA SEM VACINAS BOLSONARO.\nVACINA, VACINA, VACINA, VACINA E \nQUEREMOS VACINAS BOLSONARO.\nNINGUÉM AGUENTA ESPERAR AS VACINAS BOLSONARO.",,,,
"1,36777651895339E+018","@ChrisMoreira7 @patrycyamg @claudioedantas Pois é... Ivermectina não cura COVID, assim como dipirona e demais remédios p/gripe não  cura gripe . Boa parte das doenças não tem um remédio como ""bala de prata"", mas, sim, medicamentos que auxiliam o paciente durante o processo de cura evitando o óbito.",,,,
"1,36777650361488E+018",@claudioedantas Quem falou em CURA? (Diminui a carga viral se tomado precocemente)\n\nVai na Cura a covid? Deixa de ser trouxa rapaz,,,,
"1,36777650291025E+018",VACINAÇÃO NO BRASIL.\nBrasil deverá somar mais de 110 milhões de vacinas até o fim de abril.\nhttps://t.co/yCQJmRZs1T https://t.co/533iKeohFu,,,,
"1,36777649701718E+018",@BandJornalismo Presidente do Mimimi. Cadê a correção do Imposto de renda. Cadê o combustível barato. Cadê as vacinas?,,,,
"1,36777649195886E+018","do coronavirus, quando perguntarem o que é massa de manobra basta utilizar essa informação como exemplo.",,,,
"1,36777649187077E+018","@andretrig Queria ver se ele teria essas mesmas atitudes e falas, se por acaso do destino algum membro da FAMILÍCIA dele perdesse a vida pra covid!",,,,
"1,36777648944654E+018","@jornaldacbn o apelo do prefeito de Pirassununga faz sentido pq, pelos dados da prefeitura, a média de casos confirmados #Covid_19 em 2020 foi de 200/mês, e Jan e Fev 2021 saltou p + de 900/mes... E em 2 dias em março, 120... P uma cidade de 70mil habitantes.",,,,
"1,36777647930883E+018","@ludmilagrilo Negacionismo é falar que vacina não funciona. Que da casa dele, só o cachorro vai tomar vacina, que a ciência não sabe o que diz ao não recomendar cloroquina, isso é negacionismo. Não precisa de uma palavra não. Tem muito mais em palavras e vídeos que mostram.",,,,
"1,36777647260639E+018","@carmelonetobr @jairbolsonaro Atrasado como sempre! Se negou a comprar as vacinas no final no ano passado, só agora depois de muitas mortes e pressão resolveu fazer o obvio. E ainda tem gente que aplaude. Lamentável!",,,,
"1,36777647184724E+018",SE registra 496 novos casos de Covid-19 e mais nove óbitos que estavam em investigação\nhttps://t.co/gqGvpFqqbq https://t.co/ATYLcFM01r,,,,
"1,36777644912243E+018","@xelelete @folhape Kkkkkk O cara que conseguiu a vacina primeiro que todo mundo, inclusive primeiro que o Governo Federal.\n\nMesmo não alinhado às ideias de Doria, não tem como não reconhecer o golaço que ele fez.\n\nAliás, tem. Basta ser cretino.",,,,
"1,36777644869045E+018","SINCERAMENTE, EU NÃO CONFIO NESSES NÚMEROS! TUDO ESTÁ SENDO FORJADO PARA PREJUDICAR O ATUAL GOVERNO! TODOS OS ÓBITOS NO PAÍS TEM COMO CAUSA MORTIS ""SUSPEITA DO COVID-19"", O QUE NÃO FAZ QUALQUER SENTIDO... !\n\nBrasil tem mais 1699 mortes de Covid em um dia https://t.co/4xEkFlpEbN",,,,
"1,36777644817032E+018",parem de pegar covid! vcs tao moiando meu baile https://t.co/0Rk4giMQtO,,,,
"1,36777643947559E+018","@g1 Pq diabos, o casal teve que fazer um exame em laboratório particular para ter o resultado correto? O que esta havendo com os exames dos hospitais? Meu noivo quando teve covid tbm teve 2 falsos negativos.",,,,
"1,36777641508144E+018",@CoronavirusBra1 @Euclides_crf O problema aqui não é as vacinas. E sim um sistema corrupto comandando um povo CORRUPTÍVEL.,,,,
"1,36777640916755E+018","@elizia_leite @HumbertoReisJr Minha vizinha Susan, de 80 anos, tomou a primeiro dose dessa vacina. 3 dias depois advinha só? Morreu... infelizmente acabou sendo atropelada por um ônibus e não resistiu.",,,,
"1,36777640311937E+018","@jairbolsonaro COMPRA AS VACINAS BOLSONARO?\nCADÊ AS VACINAS BOLSONARO?\nONDE ESTÁ AS VACINAS BOLSONARO?\nVACINE A POPULAÇÃO BOLSONARO?\nSÃO MAIS DE MIL MORTOS POR DIA SEM VACINAS BOLSONARO.\nVACINA, VACINA, VACINA, VACINA E \nQUEREMOS VACINAS BOLSONARO.\nNINGUÉM AGUENTA ESPERAR AS VACINAS BOLSONARO.",,,,
"1,36777640061537E+018",Itacaré continua com vacinação contra o Covid-19 na sede e em Taboquinhas. https://t.co/sCXYxWVgyT,,,,
"1,3677763952382E+018","@rpsenador Você só fala de vacina. Pelo amor de Deus, vacinação é impostante mas  TRABALHAR PARA CUIDAR DA FAMÍLIA  É DE EXTREMA IMPORTÂNCIA. EU REPITO TRABALHAR E NÃO RECEBER AUXILO. DEIXE UM POUCO A VACINA DE LADO, POIS O MIN. DA SAÚDE É COMPETENTE PONHA PRA VOTAR AS PAUTAS DO GOV FEDERAL",,,,
"1,36777639169406E+018",Com Tramp: EUA vive dias de caos em relação as mortes por Covid-19! \n\nCom Biden: \n\nEntendedores vão entender! \n\n#FechadosComBolsonaroAte2026,,,,
"1,36777639127464E+018","@Estadao O governo federal fechou contrato em agosto de 2020 com Oxford / AstraZeneca, a primeira vacina apresentada ao mundo foi após a eleição americana e só em dez 2020 foi aprovada na Inglaterra.",,,,
"1,36777638627504E+018","@claudioedantas Deixa de falar merda,tem ajudado sim,tomamos todos,tanto no trabalho como minha família, só um pegou covid,e bem leve . Procure divulgar o que salva vida,deixe de postar bobagem.",,,,
"1,36777638214364E+018",@jairbolsonaro VACINA JÁ PRESIDENTE!!! PARE DE SER TEIMOSO E VEJA A SITUAÇÃO!!! VACINA JÁ!!!!!!!!!!!,,,,
"1,36777637913625E+018",Venha vacinas! https://t.co/Zwpjne2Eux,,,,
"1,36777636297986E+018","É amigos, chegou o fatídico dia em que venho comunicar que faleceu um parente meu por covid, deixando 4 filhos, inclusive uma criança de 5 anos.\n\nEspero que minha prima encontre forças para enfrentar tudo sozinha e que ele descanse em paz.\n\nSe cuidem!",,,,
"1,3677763620068E+018","+74,285\nFoi o número dos novos casos de contágio da Covid ontem \nMaior que o dos Estados Unidos que continua em queda. \nMais uns 4 dias e vamos seguir ao pódio desta tragédia \nVeremos qual será o comentário do abominável neste dia \n#coronavirus",,,,
"1,36777635849615E+018",@paulocruzphi Vamos fazer essa conta no Brasil. Qual a população do _xD83C__xDDE7__xD83C__xDDF7_ .Quantos óbitos por coronavírus nas pessoas menores de 40 anos? Qual a porcentagem? Qual a porcentagem de internação dos menores de 40 anos?cuidado sim. Pânico não.,,,,
"1,36777635799702E+018","@sandro_cezzar @jsgjunior10 @vitorsergio Cara tudo isso é hipocrisia vc acha que tem alguém preocupado com vidas? se tivesse não teria metros e ônibus super lotados, tudo isso é pra aparecer politicamente ficam tirando fotos com a vacina chinesa e aí quando a coisa aperta vem com esse papinho+",,,,
"1,36777635604664E+018","@carlosjordy Esse é um covarde, vai ficar Bilionário com a covid, mas vai morrer na praia.",,,,
"1,36777634999005E+018",@machine_maah mds em q mundo tu tá? aq tem até kit covid e hj mesmo uns empresários vão abrir uma clínica apenas para dar cloroquina e o remédio pra verme pra em tem covid,,,,
"1,36777634621938E+018",Meu irmão veio pra fila as 4 da manhã pra minha avó tentar a vacina. Ele vai perder a carteirinha de crente bolsominion por isso.,,,,
"1,36777633957145E+018","Sextouuu meus amg, mas bora ficar em casa pq covid ta ai e pode te pegar, se ele não pegar eu pego _xD83D__xDE0F__xD83E__xDD29_",,,,
"1,36777632057966E+018","Para que não se esqueça, daqui saíram os 5 bi aniquiladores: https://t.co/0nEaUXyKRa",,,,
"1,36777631965272E+018",@folha Presidente do Mimimi. Cadê a correção do Imposto de renda. Cadê o combustível barato. Cadê as vacinas?,,,,
"1,36777631951011E+018","@jairbolsonaro @ItamaratyGovBr @minsaude @mdregional_br @exercitooficial @DefesaGovBr Tentar se auto promover divulgando inauguração de obras iniciadas por outros,  ficar no Whatsapp e Twitter enquanto milhares morrem todos os dias por covid e outras doenças e acidentes que não tiveram o devido atendimento, enquanto VC sabota o combate à pandemia!\n#FORABOLSONARO",,,,
"1,36777630998065E+018","@ciadasluzes @eusousamir Mas exatamente isso que tô falando, que aqui também tá salve-se quem puder! Aqui na Itália TODO mundo com o cu na mão em ficar desempregado, povo não respeita as medidas de segurança e só cresce cada vez mais os anti vacinas. Aonde que isso é avançado ?",,,,
"1,36777629536767E+018",06:57 e minha mãe e a minha amiga falando sobre coronavirus x politica no carro me deem um pouco de sossego eu nem acordei ainda https://t.co/c3fQH7yRhG,,,,
"1,36777628871127E+018","@jairbolsonaro @Caixa COMPRA AS VACINAS BOLSONARO?\nCADÊ AS VACINAS BOLSONARO?\nONDE ESTÁ AS VACINAS BOLSONARO?\nVACINE A POPULAÇÃO BOLSONARO?\nSÃO MAIS DE MIL MORTOS POR DIA SEM VACINAS BOLSONARO.\nVACINA, VACINA, VACINA, VACINA E \nQUEREMOS VACINAS BOLSONARO.\nNINGUÉM AGUENTA ESPERAR AS VACINAS BOLSONARO.",,,,
"1,36777628662677E+018","O prefeito de Caxias, W. Reis, é o exemplo mais acabado destes tempos: burrice e coronelismo com total desprezo pelo povo. O que faz um imbecil e seu stsff liberar vacina de 60 a 79 anos? \nResultado óbvio, filas quilométricas e a certeza de que vai faltar vacina pras pessoas.",,,,
"1,36777628482322E+018","@SubtenenteEdgar se vc tiver anticorpos fortes  parabens, se não tiver babau, vc se deixou infectar.\n se vc não tomar a vacina seus anticorpos vão reagir de qualquer modo ao virus( se é que existe algum) e vc se cura sozinho",,,,
"1,36777626829766E+018","Eu jr que vou deixar de ser sócia do Benfica. Vão mas é para o crlho sempre a roubarem dinheiro men, no início do covid não havia jogos nenhuns e msm assim nunca foram capazes de fazer alguma promoção nas quotas, muito pelo contrário, desde daí que só sabem roubar mais cabroes _xD83D__xDE21_",,,,
"1,36777625554271E+018",@BrunnoMeloCBN Presidente do Mimimi. Cadê a correção do Imposto de renda. Cadê o combustível barato. Cadê as vacinas?,,,,
"1,36777625022858E+018",Bahia registra 111 mortes e 5.985 novos casos de coronavírus em 24 horas https://t.co/bimPjQgVdb,,,,
"1,36777623226011E+018","@will_rferreira @DoentesPFutebol @jairbolsonaro Se vc tiver morto quem cria seu filho, sustenta sua família. Só com vacina a economia pode tentar se recuperar. Cobre seu presidente que faz tudo para atrapalhar a vacinação",,,,
"1,36777622182896E+018",to so as fofoqueiras olhando a fila da vacina,"1,36777622182896E+018","1,36777543556891E+018",100,b26v89c19zqg8o3fosnu6vo443mspg8dfbr9mq82bl37h
"1,36777621986184E+018","@jairbolsonaro @ItamaratyGovBr @minsaude @mdregional_br @exercitooficial @DefesaGovBr COMPRA AS VACINAS BOLSONARO?\nCADÊ AS VACINAS BOLSONARO?\nONDE ESTÁ AS VACINAS BOLSONARO?\nVACINE A POPULAÇÃO BOLSONARO?\nSÃO MAIS DE MIL MORTOS POR DIA SEM VACINAS BOLSONARO.\nVACINA, VACINA, VACINA, VACINA E \nQUEREMOS VACINAS BOLSONARO.\nNINGUÉM AGUENTA ESPERAR AS VACINAS BOLSONARO.",,,,
"1,3677762064107E+018","Há um ano tínhamos a confirmação do primeiro caso do novo coronavírus na Bahia, em Feira de Santana.",,,,
"1,36777619102593E+018",Manifestação a favor da morte na Marginal Tietê.  Só deve ter eleitor do presidente ali. E nenhum deve ter perdido ninguém pra covid. \n\n#BDSP,,,,
"1,36777619053099E+018",Europa e EUA têm mais mortes por habitantes que o Brasil em razão do Covid-19 - Diário do Poder https://t.co/zaB9aRtylU,,,,
"1,36777618812354E+018",tw: sangue \n.\n.\n.\n.\n.\n.\nhoje eu vou tirar s4ngu3 eu to me trEMENDO serio eu ODEIO tirar s4ngu3 ou tomar vacina odeio odeio da última vez fiz um ESCANDALO,,,,
"1,36777617917709E+018","Hoje em São Paulo\nProtesto contra as restrições,será que não sabem da PANDEMIA, HOSPITAIS CHEIOS?\nCADE O AUXILIO PRA AJUDAR O POVO PASSAR POR ESTA FASE?\nQUANTO VALE UMA VIDA???\nCADE AS VACINAS?",,,,
"1,36777616544911E+018","@jairbolsonaro @jorgeseif COMPRA AS VACINAS BOLSONARO?\nCADÊ AS VACINAS BOLSONARO?\nONDE ESTÁ AS VACINAS BOLSONARO?\nVACINE A POPULAÇÃO BOLSONARO?\nSÃO MAIS DE MIL MORTOS POR DIA SEM VACINAS BOLSONARO.\nVACINA, VACINA, VACINA, VACINA E \nQUEREMOS VACINAS BOLSONARO.\nNINGUÉM AGUENTA ESPERAR AS VACINAS BOLSONARO.",,,,
"1,36777615954346E+018","Se não tivesse cancelado as vacinas no ano passado, não iria precisar fechar nada https://t.co/ECIfF8noqA",,,,
"1,36777615550854E+018","@_zadorah ontem mesmo tava entrando em desespero por causa disso, pq se dá outra mutação e a vacina não funciona nela eu tô ****** de verde e amarelo literalmente",,,,
"1,36777615017767E+018",Acabem la o covid para poder comprar bilhetes para a paddock para ir ver a F1,,,,
"1,36777614675509E+018",@aguedescartoon Presidente do Mimimi. Cadê a correção do Imposto de renda. Cadê o combustível barato. Cadê as vacinas?,,,,
"1,36777613672654E+018",Sete horas da manhã do meu aniversário e minha madrasta me liga dizendo que meu pai foi internado pelo COVID de novo,,,,
"1,36777613661328E+018","Tudo isso para justificar o fique em casa e só vá ao hospital se estiver com falta de ar? Exame sorológico pode ser utilizado para tratar covid, rapaz! https://t.co/1D9tFZlmcF",,,,
"1,36777613458744E+018","@delucca Se dizem contra a vacina, mas são os primeiros da fila.",,,,
"1,36777613088385E+018",Parar SP pra trazer vacina ninguém quer né?,,,,
"1,36777612277626E+018","@o_antagonista @jairbolsonaro É porquê quando você teve a oportunidade de comprar não quis, e agora está correndo atrás da mesma vacina!",,,,
"1,36777611756694E+018","Mostrem os negacionistas dos protestos  do ano passado na avenida Paulista, vários morreram de COVID-19. \nLembro de ver várias matérias a respeito. #BDSP",,,,
"1,3677761049253E+018",@jairbolsonaro compra as vacinas e vai tomar no cu,,,,
"1,36777609805077E+018","@LucianoHuck Narigudo, o mundo está c falta de vacina! As farmacêuticas estão em posição completamente confortável ditando as regras para a venda de vacinas com contratos leoninos contra os países! Se você diz ser fácil porque não vai lá e resolve? Ficar bostejando no Twitter é mole tio...",,,,
"1,3677760919397E+018",@acmacedo Vai piorar muito. Porto Alegre tem mais de 12.000 casos confirmados ativos não informados à Secretaria Estadual da Saúde (conforme Boletim municipal x Painel Coronavírus RS de ontem). Esconde a situação real da capital do Governo do Estado.,,,,
"1,36777605389727E+018","@nit_87 @Flamengo Só não ganharia título se não tivesse campeonato ou torneio para ser disputado, ate mesmo só não ganharia se o motivo fosse uma catástrofe natural esse time aí seria a cura até pra COVID _xD83D__xDD34_⚫️_xD83D__xDD34_",,,,
"1,3677760519848E+018",@helenatatii Meu filhote ficou moadinho c essa vacina mais tranquilo já _xD83D__xDC99__xD83E__xDD4B__xD83D__xDE4C_,,,,
"1,36777605030288E+018","@jairbolsonaro @JusticaGovBR @AmendoncaMJSP @Mapa_Brasil @TerezaCrisMS COMPRA AS VACINAS BOLSONARO?\nCADÊ AS VACINAS BOLSONARO?\nONDE ESTÁ AS VACINAS BOLSONARO?\nVACINE A POPULAÇÃO BOLSONARO?\nSÃO MAIS DE MIL MORTOS POR DIA SEM VACINAS BOLSONARO.\nVACINA, VACINA, VACINA, VACINA E \nQUEREMOS VACINAS BOLSONARO.\nNINGUÉM AGUENTA ESPERAR AS VACINAS BOLSONARO.",,,,
"1,36777604977859E+018",Minha madrinha tomou a vacina _xD83D__xDE0D__xD83D__xDE4C_,,,,
