text,attributeScores.THREAT.summaryScore.value,attributeScores.PROFANITY.summaryScore.value,attributeScores.IDENTITY_ATTACK.summaryScore.value,attributeScores.TOXICITY.summaryScore.value,attributeScores.SEVERE_TOXICITY.summaryScore.value,attributeScores.INSULT.summaryScore.value
andretrig queria ver se ele teria essas mesmas atitudes e falas se por acaso do destino algum membro da familícia dele perdesse a vida pra covid,0.7326733,0.22129783,0.39287803,0.4028394,0.32804233,0.3465202
jornaldacbn o apelo do prefeito de pirassununga faz sentido pq pelos dados da prefeitura a média de casos confirmados  em  foi de  e jan e fev  saltou p  de  e em  dias em março  p uma cidade de  habitantes,0.22395833,0.10284144,0.24210775,0.16477858,0.13884786,0.30946717
ludmilagrilo negacionismo é falar que vacina não funciona que da casa dele só o cachorro vai tomar vacina que a ciência não sabe o que diz ao não recomendar cloroquina isso é negacionismo não precisa de uma palavra não tem muito mais em palavras e vídeos que mostram,0.690226,0.38045722,0.6120667,0.55998635,0.46846846,0.6698113
carmelonetobr jairbolsonaro atrasado como sempre se negou a comprar as vacinas no final no ano passado só agora depois de muitas mortes e pressão resolveu fazer o obvio e ainda tem gente que aplaude lamentável,0.7326733,0.20902568,0.5125628,0.5263800999999999,0.32804233,0.5754986
se registra  novos casos de  e mais nove óbitos que estavam em investigaçãon,0.22669803,0.021045192999999997,0.04150937,0.055042017,0.02917772,0.035796106
xelelete folhape kkkkkk o cara que conseguiu a vacina primeiro que todo mundo inclusive primeiro que o governo federalnnmesmo não alinhado às ideias de doria não tem como não reconhecer o golaço que ele feznnaliás tem basta ser cretino,0.71028054,0.7739307,0.7833528000000001,0.800372,0.6696890999999999,0.8543771000000001
sinceramente eu não confio nesses números tudo está sendo forjado para prejudicar o atual governo todos os óbitos no país tem como causa mortis suspeita do  o que não faz qualquer sentido nnbrasil tem mais  mortes de covid em um dia,0.8367346999999999,0.21286672,0.6673041000000001,0.4375174,0.32804233,0.45039085
parem de pegar covid vcs tao moiando meu baile,0.4653846,0.41745284,0.17591529999999997,0.67148936,0.65957445,0.6685455
pq diabos o casal teve que fazer um exame em laboratório particular para ter o resultado correto o que esta havendo com os exames dos hospitais meu noivo quando teve covid tbm teve  falsos negativos,0.22211002,0.90580297,0.71688426,0.8674699,0.8504239,0.79079497
euclidescrf o problema aqui não é as vacinas e sim um sistema corrupto comandando um povo corruptível,0.21840228,0.22129783,0.7366411999999999,0.54622144,0.18291208,0.6919264
elizialeite humbertoreisjr minha vizinha susan de  anos tomou a primeiro dose dessa vacina  dias depois advinha só morreu infelizmente acabou sendo atropelada por um ônibus e não resistiu,0.8977463,0.15004128,0.15686275,0.47617248,0.34962407,0.18459141
jairbolsonaro compra as vacinas bolsonaroncadê as vacinas bolsonarononde está as vacinas bolsonaronvacine a população bolsonaronsão mais de mil mortos por dia sem vacinas bolsonaronvacina vacina vacina vacina e nqueremos vacinas bolsonaronninguém aguenta esperar as vacinas bolsonaro,0.8367346999999999,0.35398229999999997,0.7366411999999999,0.6152542,0.6394558000000001,0.6698113
itacaré continua com vacinação contra o  na sede e em taboquinhas,0.4653846,0.12276316400000001,0.29694322,0.26628074,0.15652174,0.20682159
rpsenador você só fala de vacina pelo amor de deus vacinação é impostante mas  trabalhar para cuidar da família  é de extrema importância eu repito trabalhar e não receber auxilo deixe um pouco a vacina de lado pois o min da saúde é competente ponha pra votar as pautas do gov federal,0.38785046,0.10279001,0.29668390000000006,0.24259791,0.13884786,0.21792622
com tramp eua vive dias de caos em relação as mortes por  nncom biden nnentendedores vão entender,0.88135594,0.41745284,0.8082596,0.58085537,0.4920303,0.47906414
estadao o governo federal fechou contrato em agosto de  com oxford  astrazeneca a primeira vacina apresentada ao mundo foi após a eleição americana e só em dez  foi aprovada na inglaterra,0.12875307,0.021832807000000003,0.06877592,0.046713654,0.028438961000000002,0.050847456
claudioedantas deixa de falar merdatem ajudado simtomamos todostanto no trabalho como minha família só um pegou covide bem leve  procure divulgar o que salva vidadeixe de postar bobagem,0.61838144,0.8968254000000001,0.6658835,0.86052006,0.81906617,0.8408602
jairbolsonaro vacina já presidente pare de ser teimoso e veja a situação vacina já,0.2877095,0.17263843,0.29694322,0.54238683,0.32804233,0.6955699000000001
venha vacinas,0.02767219,0.010507881,0.00679815,0.012811388,0.01205666,0.014241947
é amigos chegou o fatídico dia em que venho comunicar que faleceu um parente meu por covid deixando  filhos inclusive uma criança de  anosnnespero que minha prima encontre forças para enfrentar tudo sozinha e que ele descanse em paznnse cuidem,0.71652615,0.12096189,0.18724498,0.13106385,0.2591824,0.15745513
o número dos novos casos de contágio da covid ontem nmaior que o dos estados unidos que continua em queda nmais uns  dias e vamos seguir ao pódio desta tragédia nveremos qual será o comentário do abominável neste dia ncoronavirus,0.52348995,0.20032701,0.58088064,0.35008603,0.15652174,0.45039085
paulocruzphi vamos fazer essa conta no brasil qual a população do  quantos óbitos por coronavírus nas pessoas menores de  anos qual a porcentagem qual a porcentagem de internação dos menores de  anoscuidado sim pânico não,0.6995544,0.06889458,0.41667295,0.1936779,0.13884786,0.18513027
sandrocezzar  vitorsergio cara tudo isso é hipocrisia vc acha que tem alguém preocupado com vidas se tivesse não teria metros e ônibus super lotados tudo isso é pra aparecer politicamente ficam tirando fotos com a vacina chinesa e aí quando a coisa aperta vem com esse papinho,0.71622807,0.46014494,0.8082596,0.6938776,0.50714284,0.71376973
carlosjordy esse é um covarde vai ficar bilionário com a covid mas vai morrer na praia,0.9909091,0.8400321,0.8082596,0.9019052,0.8821053,0.9156950999999999
machinemaah mds em q mundo tu tá aq tem até kit covid e hj mesmo uns empresários vão abrir uma clínica apenas para dar cloroquina e o remédio pra verme pra em tem covid,0.5128545,0.5240159000000001,0.55453676,0.67148936,0.51673454,0.7009218
meu irmão veio pra fila as  da manhã pra minha avó tentar a vacina ele vai perder a carteirinha de crente bolsominion por isso,0.7326733,0.5360802,0.9133127000000001,0.67978144,0.6394558000000001,0.71376973
sextouuu meus amg mas bora ficar em casa pq covid ta ai e pode te pegar se ele não pegar eu pego,0.8367346999999999,0.7739307,0.16497421,0.70172405,0.6696890999999999,0.45039085
para que não se esqueça daqui saíram os  bi aniquiladores,0.92975205,0.41745284,0.7800538,0.6158332,0.65957445,0.5754986
folha presidente do mimimi cadê a correção do imposto de renda cadê o combustível barato cadê as vacinas,0.21213168,0.5742977,0.50832504,0.71235484,0.5943980999999999,0.71376973
jairbolsonaro itamaratygovbr minsaude mdregionalbr exercitooficial defesagovbr tentar se auto promover divulgando inauguração de obras iniciadas por outros  ficar no whatsapp e twitter enquanto milhares morrem todos os dias por covid e outras doenças e acidentes que não tiveram o devido atendimento enquanto vc sabota o combate à pandemianforabolsonaro,0.8367346999999999,0.22129783,0.6052632,0.61189497,0.50714284,0.48256174
ciadasluzes eusousamir mas exatamente isso que tô falando que aqui também tá salvese quem puder aqui na itália todo mundo com o cu na mão em ficar desempregado povo não respeita as medidas de segurança e só cresce cada vez mais os anti vacinas aonde que isso é avançado,0.52348995,0.8863489999999999,0.8532888000000001,0.800372,0.8169711,0.71611255
e minha mãe e a minha amiga falando sobre coronavirus x politica no carro me deem um pouco de sossego eu nem acordei ainda,0.38785046,0.0593927,0.15505378,0.08440016,0.13884786,0.08447158
jairbolsonaro caixa compra as vacinas bolsonaroncadê as vacinas bolsonarononde está as vacinas bolsonaronvacine a população bolsonaronsão mais de mil mortos por dia sem vacinas bolsonaronvacina vacina vacina vacina e nqueremos vacinas bolsonaronninguém aguenta esperar as vacinas bolsonaro,0.8367346999999999,0.40241852,0.7366411999999999,0.6658772,0.65957445,0.68084407
o prefeito de caxias w reis é o exemplo mais acabado destes tempos burrice e coronelismo com total desprezo pelo povo o que faz um imbecil e seu stsff liberar vacina de  a  anos nresultado óbvio filas quilométricas e a certeza de que vai faltar vacina pras pessoas,0.69014084,0.8901960999999999,0.8082596,0.86052006,0.81906617,0.9313984000000001
subtenenteedgar se vc tiver anticorpos fortes  parabens se não tiver babau vc se deixou infectarn se vc não tomar a vacina seus anticorpos vão reagir de qualquer modo ao virus se é que existe algum e vc se cura sozinho,0.75582963,0.41442677,0.6052632,0.67148936,0.6468151999999999,0.68898976
eu jr que vou deixar de ser sócia do benfica vão mas é para o crlho sempre a roubarem dinheiro men no início do covid não havia jogos nenhuns e msm assim nunca foram capazes de fazer alguma promoção nas quotas muito pelo contrário desde daí que só sabem roubar mais cabroes,0.57450515,0.8319736999999999,0.8327409,0.800372,0.8159366,0.82001865
brunnomelocbn presidente do mimimi cadê a correção do imposto de renda cadê o combustível barato cadê as vacinas,0.22395833,0.35398229999999997,0.6034755,0.6486132,0.34962407,0.70321447
bahia registra  mortes e  novos casos de coronavírus em  horas,0.7077214,0.021832807000000003,0.1507572,0.11430915,0.08153437,0.040046427
